,first_name,last_name,company_name,address,city,county,postal,phone1,phone2,email,web,full_name,domain,is_gmail
0,Aleshia,Tomkiewicz,Alan D Rosenburg Cpa Pc,14 Taylor St,St. Stephens Ward,Kent,CT2 7PP,01835703597,01944369967,atomkiewicz@hotmail.com,http://www.alandrosenburgcpapc.co.uk,Aleshia Tomkiewicz,hotmail.com,False
1,Evan,Zigomalas,Cap Gemini America,5 Binney St,Abbey Ward,Buckinghamshire,HP11 2AX,01937864715,01714737668,evan.zigomalas@gmail.com,http://www.capgeminiamerica.co.uk,Evan Zigomalas,gmail.com,True
2,France,Andrade,"Elliott, John W Esq",8 Moor Place,East Southbourne And Tuckton W,Bournemouth,BH6 3BE,01347368222,01935821636,france.andrade@hotmail.com,http://www.elliottjohnwesq.co.uk,France Andrade,hotmail.com,False
3,Ulysses,Mcwalters,"Mcmahan, Ben L",505 Exeter Rd,Hawerby Cum Beesby,Lincolnshire,DN36 5RP,01912771311,01302601380,ulysses@hotmail.com,http://www.mcmahanbenl.co.uk,Ulysses Mcwalters,hotmail.com,False
4,Tyisha,Veness,Champagne Room,5396 Forth Street,Greets Green And Lyng Ward,West Midlands,B70 9DT,01547429341,01290367248,tyisha.veness@hotmail.com,http://www.champagneroom.co.uk,Tyisha Veness,hotmail.com,False
5,Eric,Rampy,"Thompson, Michael C Esq",9472 Lind St,Desborough,Northamptonshire,NN14 2GH,01969886290,01545817375,erampy@rampy.co.uk,http://www.thompsonmichaelcesq.co.uk,Eric Rampy,rampy.co.uk,False
6,Marg,Grasmick,Wrangle Hill Auto Auct & Slvg,7457 Cowl St #70,Bargate Ward,Southampton,SO14 3TY,01865582516,01362620532,marg@hotmail.com,http://www.wranglehillautoauctslvg.co.uk,Marg Grasmick,hotmail.com,False
7,Laquita,Hisaw,In Communications Inc,20 Gloucester Pl #96,Chirton Ward,Tyne & Wear,NE29 7AD,01746394243,01590982428,laquita@yahoo.com,http://www.incommunicationsinc.co.uk,Laquita Hisaw,yahoo.com,False
8,Lura,Manzella,Bizerba Usa Inc,929 Augustine St,Staple Hill Ward,South Gloucestershire,BS16 4LL,01907538509,01340713951,lura@hotmail.com,http://www.bizerbausainc.co.uk,Lura Manzella,hotmail.com,False
9,Yuette,Klapec,Max Video,45 Bradfield St #166,Parwich,Derbyshire,DE6 1QN,01903649460,01933512513,yuette.klapec@klapec.co.uk,http://www.maxvideo.co.uk,Yuette Klapec,klapec.co.uk,False
10,Fernanda,Writer,K & R Associates Inc,620 Northampton St,Wilmington,Kent,DA2 7PP,01630202053,01687879391,fernanda@writer.co.uk,http://www.krassociatesinc.co.uk,Fernanda Writer,writer.co.uk,False
11,Charlesetta,Erm,"Cain, John M Esq",5 Hygeia St,Loundsley Green Ward,Derbyshire,S40 4LY,01276816806,01517624517,charlesetta_erm@gmail.com,http://www.cainjohnmesq.co.uk,Charlesetta Erm,gmail.com,True
12,Corrinne,Jaret,Sound Vision Corp,2150 Morley St,Dee Ward,Dumfries and Galloway,DG8 7DE,01625932209,01642322954,corrinne_jaret@gmail.com,http://www.soundvisioncorp.co.uk,Corrinne Jaret,gmail.com,True
13,Niesha,Bruch,Rowley/Hansell Petetin,24 Bolton St,"Broxburn, Uphall And Winchburg",West Lothian,EH52 5TL,01874856950,01342793603,niesha.bruch@yahoo.com,http://www.rowleyhansellpetetin.co.uk,Niesha Bruch,yahoo.com,False
14,Rueben,Gastellum,Industrial Engineering Assocs,4 Forrest St,Weston-Super-Mare,North Somerset,BS23 3HG,01976755279,01956535511,rueben_gastellum@gastellum.co.uk,http://www.industrialengineeringassocs.co.uk,Rueben Gastellum,gastellum.co.uk,False
15,Michell,Throssell,Weiss Spirt & Guyer,89 Noon St,Carbrooke,Norfolk,IP25 6JQ,01967580851,01672496478,mthrossell@throssell.co.uk,http://www.weissspirtguyer.co.uk,Michell Throssell,throssell.co.uk,False
16,Edgar,Kanne,"Crowan, Kenneth W Esq",99 Guthrie St,New Milton,Hampshire,BH25 5DF,01326532337,01666638176,edgar.kanne@yahoo.com,http://www.crowankennethwesq.co.uk,Edgar Kanne,yahoo.com,False
17,Dewitt,Julio,Rittenhouse Motor Co,7 Richmond St,Parkham,Devon,EX39 5DJ,01253528327,01241964675,dewitt.julio@hotmail.com,http://www.rittenhousemotorco.co.uk,Dewitt Julio,hotmail.com,False
18,Charisse,Spinello,Modern Plastics Corp,9165 Primrose St,Darnall Ward,"Yorkshire, South",S4 7WN,01719831436,01207428520,charisse_spinello@spinello.co.uk,http://www.modernplasticscorp.co.uk,Charisse Spinello,spinello.co.uk,False
19,Mee,Lapinski,Galloway Electric Co Inc,9 Pengwern St,Marldon,Devon,TQ3 1SA,01578287816,01939815208,mee.lapinski@yahoo.com,http://www.gallowayelectriccoinc.co.uk,Mee Lapinski,yahoo.com,False
20,Peter,Gutierres,Niagara Custombuilt Mfg Co,4410 Tarlton St,Prestatyn Community,Denbighshire,LL19 9EG,01842767201,01859648598,peter_gutierres@yahoo.com,http://www.niagaracustombuiltmfgco.co.uk,Peter Gutierres,yahoo.com,False
